track_id,HaloCatalogueIndex,corrected_bh_mass,first_snapshot_with_bh
7965580,7965580,598129.75,GalaxyProperties_SFR_GE_0_z0.0.txt
12107,12107,14450434.0,GalaxyProperties_SFR_GE_0_z0.0.txt
162353,162353,1849198.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1497964,1497964,1458388.125,GalaxyProperties_SFR_GE_0_z0.0.txt
1733560,1733560,1394047.375,GalaxyProperties_SFR_GE_0_z0.0.txt
2853665,2853665,7225217.0,GalaxyProperties_SFR_GE_0_z0.0.txt
4117201,4117201,687491.75,GalaxyProperties_SFR_GE_0_z0.0.txt
358066,358066,32599262.0,GalaxyProperties_SFR_GE_0_z0.0.txt
5993928,5993928,607065.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
16488769,16488769,387831.15625,GalaxyProperties_SFR_GE_0_z0.0.txt
1499921,1499921,59250592.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1501307,1501307,277618.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2859463,2859463,42372.48828125,GalaxyProperties_SFR_GE_0_z0.0.txt
2861383,2861383,542725.3125,GalaxyProperties_SFR_GE_0_z0.0.txt
16501714,16501714,145809.015625,GalaxyProperties_SFR_GE_0_z0.0.txt
6444,6444,23982382.0,GalaxyProperties_SFR_GE_0_z0.0.txt
163095,163095,8750328.0,GalaxyProperties_SFR_GE_0_z0.0.txt
752751,752751,546895.5,GalaxyProperties_SFR_GE_0_z0.0.txt
4450199,4450199,536767.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
62669,62669,868598.8125,GalaxyProperties_SFR_GE_0_z0.0.txt
62749,62749,22724164.0,GalaxyProperties_SFR_GE_0_z0.0.txt
352620,352620,434299.40625,GalaxyProperties_SFR_GE_0_z0.0.txt
352808,352808,56886668.0,GalaxyProperties_SFR_GE_0_z0.0.txt
739498,739498,1784857.25,GalaxyProperties_SFR_GE_0_z0.0.txt
739553,739553,11095188.0,GalaxyProperties_SFR_GE_0_z0.0.txt
740128,740128,334213.9375,GalaxyProperties_SFR_GE_0_z0.0.txt
740743,740743,1510470656.0,GalaxyProperties_SFR_GE_0_z0.0.txt
1478095,1478095,246937.03125,GalaxyProperties_SFR_GE_0_z0.0.txt
1478387,1478387,226383.765625,GalaxyProperties_SFR_GE_0_z0.0.txt
1479601,1479601,82659.8671875,GalaxyProperties_SFR_GE_0_z0.0.txt
2821775,2821775,111638176.0,GalaxyProperties_SFR_GE_0_z0.0.txt
2824042,2824042,5776360.5,GalaxyProperties_SFR_GE_0_z0.0.txt
4088306,4088306,3259926.25,GalaxyProperties_SFR_GE_0_z0.0.txt
4090568,4090568,739917.5,GalaxyProperties_SFR_GE_0_z0.0.txt
5557862,5557862,108276.9765625,GalaxyProperties_SFR_GE_0_z0.0.txt
7422088,7422088,34032.03515625,GalaxyProperties_SFR_GE_0_z0.0.txt
7426735,7426735,236213.59375,GalaxyProperties_SFR_GE_0_z0.0.txt
7427741,7427741,396171.59375,GalaxyProperties_SFR_GE_0_z0.0.txt
9791526,9791526,24554298.0,GalaxyProperties_SFR_GE_0_z0.0.txt
20859462,20859462,281192.46875,GalaxyProperties_SFR_GE_0_z0.0.txt
353196,353196,60318168.0,GalaxyProperties_SFR_GE_0_z0.0.txt
